智能制造事业部总经理,50-60万/年,苏州金峰物流设备有限公司,苏州-工业园区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,年终奖金,餐饮补贴,补充医疗保险,员工旅游,定期体检,出国机会,专业培训","1.全面组织实施集团总裁的有关决议和规定，全面完成集团总裁制定的各项指标，并将实施情况向集团总裁汇报；
2.负责宣传贯彻执行国家和行业有关法律、法规、方针、政策；
3.根据集团总裁的要求确定事业部的经营方针，建立事业部的经营管理体系；
4.负责召集和主持事业部办公会议，协调、检查和督促各部的工作；
5.根据市场变化，不断调整事业部的经营方向，使事业部持续健康发展；

","要求：
1.智能仓储销售10年以上工作经验，5年以上管理工作经验，管理过100人的销售团队优先；
2.***本科以上学历，硕士以上学历尤佳，管理类相关专业；
3.优秀的外联与公关能力；
4.熟练的外语、沟通交流能力；
职能类别：
首席执行官CEO/总裁/总经理
微信分享" 
质量工程师,6-8千/月,浙江圣奥家具制造有限公司家具制造中心,杭州-萧山区  ,  1年经验  ,  大专  ,  招1人  ,  12-22发布,"五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金","工作职责:
1、积极参与研发新品质量标准制定过程；
2、梳理现有各类检验标准，完善质量标准、检验方法、检验记录；
3、根据治疗标准制定检验指导书、视频拍摄及视频培训；
4、不良品及客诉产品的组织质量改善，跟踪进程直至最终关闭。
","资格:
1、熟练使用OFFICE办公软件；
2、良好的团队协作精神；
3、良好的沟通协调能力及责任意识、抗压能力；
4、有大型制造企业PQA"
新媒体运营专员,0.5-1.2万/月,苏州柔触机器人科技有限公司,张家港  ,  2年经验  ,  本科  ,  招若干人  ,  12-22发布,"五险一金,餐饮补贴,年终奖金","工作职责：
负责微信公众号、订阅号、抖音等新媒体运营，为粉丝策划与提供优质、有高度传播性的内容；
选题策划，提高品牌知名度和美誉度；
培养粉丝对于行业知识兴趣，增加粉丝粘性，提升粉丝量；
撰写相应的软文，掌握实时热点，能够完成专题策划；
负责官网运营，提升网站引流、阅读量及品牌曝光度，积极探索新的运营模式；
根据短视频投放需求，完成产品拍摄，跟进视频剪辑；
负责视频素材收集，建立素材库，对素材进行分类、整理，并做好备份；
完成领导安排的其他任务。


","资格：
1、2年以上新媒体运营管理及相关工作经验，具有一定的广告/营销/公关专业知识，了解各种媒体传播特征；
2、语言表达及沟通能力强，有较强的互联网专题策划能力和文字功底；
3、有营销理念，熟练掌握微博、微信平台各种推广营销手段；
4、对工业机器人/智能制造熟知或感兴趣，有自身的认识和见解者优先。
职能类别：
市场/营销/拓展主管市场企划经理/主管
微信分享"
物联网产品经理,2-3万/月,江苏丰尚智能科技有限公司,深圳-宝安区  ,  5-7年经验  ,  本科  ,  招3人  ,  12-22发布,"五险一金,绩效奖金,年终奖金,交通补贴,餐饮补贴,通讯补贴","一、岗位职责
1、参与公司物联平台核心产品（PaaS、SaaS）的统筹规划和设计迭代，包括物联中台、物联组态、应用平台等；
2、根据具体项目进行产品的需求调研、分析，提炼行业客户需求，制定产品计划，完成具体产品设计;
3、负责需求制定、业务流程设计以及功能逻辑设计，输出FRD、PRD、用户手册、文档文案等；
4、参与产品PPT、产品手册、项目计划书等文档编写。参与对客户、合作方进行业务交流；
5、制定产品规划并管控研发全流程；
6、具备客户需求多场景挖掘和通用性提取分析和设计能力；
二、","要求
1、本科及以上学历，至少8年以上互联网/loT产品以及智慧化行业相关工作经验，有中大型平台规划和设计经验者优先。
2、深入了解物联网、互联网。熟悉数据中台、设备运维、可视化分析等产品，有产品案例者优先；
3、熟悉互联网产品实现过程，包括市场分析、需求分析、产品功能设计、业务流程设计、界面设计、用户研究和可用性测试等；
4、具有清晰的逻辑思维框架，良好的沟通能力和抗压能力，拥有强烈的责任心和团队合作精神；能够与技术部门进行有效的沟通，收集各方的意见并改进产品；
5、熟练掌握需求规划和设计工具，能够独立完成业务流程分析、手册编写、 原型设计，具备较强的产品执行和落地能力，具备优秀的沟通和协作能力；
6、有智能制造、工业物联网相关经验优先。
职能类别：
产品经理/主管
关键字：
产品经理
微信分享"
SAP M M顾问 (职位编号：SEC009717),30-40万/年,上海电气集团数字科技有限公司,上海-闵行区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,餐饮补贴,通讯补贴,绩效奖金,年终奖金,定期体检,补充医疗保险","岗位职责:
1、MM模块及以MM模块为核心的、面向智能制造的整体物流解决方案的设计与实施； 
2、需求分析、系统构建、项目实施、应用运维。
  ","资格:
1、 大学本科及以上学历，专业不限。 
2、 3年以上SAP MM模块实施经验，3个完整的MM模块实施经验，有离散制造业经验优先；
3、 针对客户提出的问题，能独立出具整体解决方案，且有较好的需求引导能力；
4、 具有强烈的服务意识，有责任心，有耐心，良好的沟通能力，清晰的逻辑思维能力，较强的抗压能力及团队合作能力。
职能类别：
ERP实施顾问
微信分享"
IT经理,1.5-2万/月,江苏润阳悦达光伏科技有限公司,盐城-亭湖区  ,  8-9年经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,通讯补贴,免费班车,定期体检,做五休二,节日福利,包住宿","岗位职责：
1.负责集团IT基础架构的规划建设、预算指定和运维管理；使集团的基础架构建设和运维策略保持一致，提升全集团IT服务质量和服务效率。
2.负责润阳世纪公司IT工作管理。包括IT系统规划，对接业务需求并形成解决方案，协调IT项目执行。
3.负责润阳世纪公司MES项目的推进和日常维护管理。
4.负责润阳世纪公司IT团队建设和绩效管理，提高团队业务水平和专业技能。

","资格：
1.本科以上学历，计算机相关专业。有8年以上IT工作经验，3年以上团队管理经验，主导过中大型制造企业IT项目。
2.有IT服务管理体系建设经验，熟悉ITIL、ISO20000/27001管理体系。
3.熟悉智能制造，有较全面的IT技术和制造业信息化项目经验，包括而不限于IT基础设施相关产品和解决方案，网络安全与数据保护，各类信息系统如ERP系统、MES系统、WMS系统、SCADA系统等。
4.具有较强的团队管理能力、组织协调能力、资源整合能力、执行能力，良好的前瞻性思维，优秀的责任意识及分析解决问题的能力。
职能类别：
IT经理/IT主管
关键字：
IT经理
微信分享"
自动化集成开发工程师（全屋定制事业部）,1-1.5万/月,广东顶固集创家居股份有限公司,中山  ,  2年经验  ,  大专  ,  招1人  ,  12-22发布,"五险一金,定期体检,年终奖金,免费班车","岗位职责：
1、负责公司的智能制造系统自动化集成相关开发工作；
2、负责公司板材分拣系统/五金分拣系统/设备采集/自动化运送设备等硬件/软件通讯，信息化逻辑优化等工作。

","要求：
1、 具有2年以上、NET平台系统开发工作经验；
2、 熟悉PLC 的Mobus通讯 ，TCP/IP， 串口通讯 等相关技术；
3、 熟悉WebForm、 Asp、net MVC WebApi、Web Service、XML异步处理、委托、事件等相关开发技术；
4、 熟悉MySql、SQL Server、Oracle中的一种数据库，对视图、触发器、存储过程、函数、索引、游标熟练使用；
5、 有自动化生产设备管理系统开发经验者优先。
职能类别：
系统分析员
关键字：
系统集成自动化
微信分享"
软件销售工程师（上市公司）,0.5-1万/月,济南奥图自动化股份有限公司,济南-长清区  ,  1年经验  ,  大专  ,  招2人  ,  12-22发布,"五险一金,免费公寓,免费工作餐,免费班车,员工旅游,交通补贴,通讯补贴,专业培训,年终奖金","1、负责销售公司自研工业软件产品（MES相关产品）及咨询服务项目；
2、负责参与规划、执行智能制造、工业4.0等行业销售计划的制定和落实；
3、进行市场反馈、搜集并分析行业市场信息，建立客户资料档案管理；
4、拓展新客户，关注竞争对手的状况及新的分享应用及商业模式，了解市场动态；
5、根据公司产品、价格及市场策略，完成咨询、报价、销售方案、合同条款的协商及合同签订事宜；
6、参与公司组织的各种市场活动，对产品进行推广；
7、具备较强的抗压能力，完成公司下达的年度销售任务。

","资格：
1、大专及以上学历，市场营销或机电一体化、计算机、自动化等相关专业；
2、1年及以上工业软件行业或者智能制造解决方案销售背景，能够独立进行商务谈判；
3、有广泛的客户群和渠道关系，具备较强的开拓能力和独立开展工作的能力；
4、可适应短期出差；
5、了解工业大数据、工业4.0、智能制造、西门子PLC工业软件等；具有PLM、MES相关领域销售经验者优先考虑。
职能类别：
销售工程师
关键字：
销售销售代表销售经理大客户销售
微信分享"
战略投资主管/经理,20-40万/年,海洋王照明科技股份有限公司,深圳-光明区  ,  1年经验  ,  本科  ,  招2人  ,  12-22发布,"五险一金,绩效奖金,定期体检,餐饮补贴,员工旅游,交通补贴,年终奖金,专业培训,做五休二","对是否有投资经验不十分看重，从事产品市场的应聘者或技术研究等与该岗位十分匹配，只要是对机电、通信、智能制造等方面感兴趣，并愿意深入研究挖掘相关项目的人，欢迎投递。
职责描述：
1、基于公司发展战略的意图，分析公司内外部资源差异和优劣势，寻找在中长期战略层面支持公司主营业务发展的新技术、新产品，新标的，为公司在资本市场上提供有可供选择的发展方式；
2、洞察创新资源分布、生态特征及创新投资趋势，在宏观层面对经济形势，经济周期进行分析思考；在中观对行业规模、发展和竞争分析判断；在微观对标的技术、产品、商业模式、团队、财务等进行分析预测，并根据公司的投资并购要求和标准进行筛选跟进；
3、领会公司的战略意图，与董事会进行充分沟通，在公司有意向的项目中重点推进投资并购的进程；
4、投资并购工作方案实施及落地。
","要求：
1.本科及以上学历，理工背景且拥有经济、管理、财务或法律教育经历的复合背景优先；
2. 有过相关投资工作经验，重点在机械、电子、自动化、工业物联网等领域；
3. 熟悉公司相关行业，有丰富的资源及专业能力者优先；
4. 学习能力强，逻辑思维和数据分析判断能力，有创新型思维；
5. 具备成熟的人际沟通和影响力，谈判交流能力。
职能类别：
投资经理
关键字：
投资投资经理战略战略投资
微信分享"
视觉软件副理（吴江） (职位编号：2),1.5-2万/月,苏州中耀科技有限公司,苏州-吴江区  ,  5-7年经验  ,  大专  ,  招1人  ,  12-22发布  ,"带薪年假,五险一金,绩效奖金,全勤奖,交通补贴,年终奖金,专业培训,餐饮补贴,员工旅游",（视觉软件副理*5年经验*责任制 ****急招）,"要求：
1.自动化数学 计算机等大专及以上学历；常用英语即可；
2.五年及以上机器人自动化相关经验；熟悉FANUC、KUKA或汇川或上银机器人；
3.精通LabView或C#编程；具有视觉系统开发经验的优先;
4.熟练掌握TCP/IP,串口等通信技术;
5.技能要求：a.熟练使用labview及C#对于运动控制及视觉；b.熟悉多种通讯方式的应用及开发；了解常用的自动化设备,具备一定的自动化基础;
岗位职责：
1.负责自动化视觉项目的可行性评估；项目初期检讨 制定项目可行性方案；
2.新项目的软件编写（LabVIEW为主，加分项：了解C#或python）；
3.新机台的调试和现场人员培训；调试验证机器确保软件功能正常能力；
4.新技术导入：通用视觉软件的持续开发，通用智能制造软件的开发和优化；
5.其他工作类管理事项；

五年及以上管理经验 本岗位责任制   薪资福利待遇需来司面试详谈！
工作地：苏州市吴江区胜信路368号 苏州中耀科技有限公司（急招）
职能类别：
机器视觉工程师
关键字：
LabVIEWC#python
微信分享"
高级解决方案经理,3-4万/月,上海元非智能科技有限公司,上海-闵行区  ,  8-9年经验  ,  本科  ,  招若干人  ,  12-22发布,,"1、能立足于销售、市场、行业、技术角度进行产品解决方设计，并不断深挖客户需求与公司产品服务能力的结合点；
2、以客户为中心，深入理解业务需求，负责解决方案的整体方案设计、总体架构规划、技术路线设定、技术选型和方案实施落地。
3、负责调研和分析客户的需求，设计和优化业务流程，制定有针对性的解决方案，协助企业制定软硬件及系统解决方案；
4、.参与项目售前工作，包括现场调研，客户交流，成本评估等；
5、跟踪各项目解决方案的实施，协调各部门顺利执行，与用户建立、维护并形成长远的良好合作关系，提升客户满意度； 
6、对行业进行深入研究，了解竞争对手的产品、方案特点，了解竞争对手的资质及样板示范，了解的产品动态、市场动态及商务特点，形成对公司自身竞争价值的理解；
7、综合行业发展、市场需求、竞争需求定期进行市场分析，为公司市场方向、产品开发提供建议并参与开发阶段的讨论，学习了解公司技术及产品方案；
8、协调/推动技术团队按时完成产品开发和高质量上线；
9、与公司销售和技术部门及生态资源紧密合作，负责智慧解决方案项目的售前和项目实施阶段工作；


","要求
1、具有5年以上相关工作经验，***本科以上学历，计算机科学、电子信息工程、人工智能、自动化等信息技术学科优先；
2、对人工智能、协作机器人、咖啡机器人、饮品机器人、家庭机器人等机器人服务应用，主持或参与过类似项目的落地，并掌握推进方式，有一定资源基础更好；
3、有完整的协作机器人自动化服务业项目推进与实施经验。
4、具备较强的数据分析和报告撰写能力、优秀的文字功底及文案策划能力，能独立完成文案的策划、组织与撰写工作。沟通协调能力强、有较强的主动性及团队合作精神，勤奋刻苦，爱岗敬业，能进行短期出差；
5、有智慧城市、智慧社区、智能家居、智能制造等产品交付经验者优先。特别是在智慧停车、智慧医疗、智慧服装及机器人领域有过经验者。
职能类别：
售前/售后技术支持经理
关键字：
售前
微信分享"
投资总监,0.8-1.5万/月,武汉高森资产管理有限公司,武汉-汉阳区  ,  5-7年经验  ,  本科  ,  招2人  ,  12-22发布,"五险,绩效奖金,年终奖金,员工旅游","1.负责投资项目源的开发、对接、评估；
2.负责资金渠道开发、对接、募集；
3.负责投资部管理、人员管理、运营管理；
4.负责募投管退的设计规划，配合总经理开展业务工作。
5.5年以上有私募股权基金投资、证券投资等行业经验，3年同岗位经验。
6.有一定的投资募资渠道，有客户资源。
","要求：
 1.本科及以上学历，理工类，金融、经济、法律、财务等相关专业背景，扎实的金融理论功底及丰富的金融专业知识、良好的财务分析能力和产业分析能力；
 2.具有3年以上投资管理或私募基金从业经历，具有良好的项目投资和项目退出经验；
 3.良好的沟通、协调、谈判、分析、风控及团队合作能力；
 4.复合知识背景，熟悉商业航天、智能制造、信息技术、通信、卫星制造及应用等产业。
 5.具有基金从业资格证书。   
职能类别：
投资总监
微信分享"
销售经理,1-2万/月,宁波舜宇智能科技有限公司,杭州-滨江区  ,  3-4年经验  ,  本科  ,  招3人  ,  12-22发布  ,"绩效奖金,年终奖金,节日福利,500强,工作餐,提供住宿","1.  组织或参与所属区域的市场推广活动，进行产品宣传；
2.  多渠道开拓新客户，积极寻找项目线索，协调售前资源；
3.  日常维护客户关系；
4.  组织价格谈判、投标、回款等商务工作；
5.  完成分配到个人的销售指标。

","要求
1.    市场营销、自动化专业、计算机或相关专业，本科及以上学历；
2.    具有3年及以上信息化或自动化领域销售经验；
3.    熟练使用Offic、思维导图等办公软件；
4.    ***，沟通能力强、讲解能力强，服务意识强，责任心强；
5.    具有开拓精神，富有激情，能抗压，自我驱动型，适应出差。
职能类别：
客户代表大客户销售
关键字：
智能制造军工MES销售销售代表
微信分享"
ERP工程师,0.5-1万/月,广东玛西尔电动科技有限公司,肇庆  ,  2年经验  ,  大专  ,  招3人  ,  12-22发布,"五险一金,提供食宿,免费班车,定期体检,餐饮补贴,节日福利","工作职责：
1. 负责鼎捷智能制造项目中ERP产品制造段上线实施；
2. 负责规划ERP项目的业务流程、物料编码及BOM等工作；
3. 按照项目领导建议和指导，在实施过程中准确把握客户需求并加以实现；
4. 按照客户要求协助进行现场培训和指导，进行实施文档的编写，完成项目实施进度报告，实施总结等；
5. 与客户方保持良好的合作，确保项目进度与质量。
","资格：
1. 专科及以上学历，2年以上ERP实施或有ERP相关背景的工作经验；
2. 熟悉企业生产/经营/运作流程，从事过制造企业的计划、生产、财务相关岗位工作者优先；
3. 具备良好的沟通协调能力和团队合作精神，敢于承受压力和挑战；
4. 有独立分析解决问题、并形成解决方案文档的能力；
5. ERP系统各类用户权限的管控和设置。
6. 有ERP项目实施工作经验、熟悉鼎捷T100相关ERP软件优先考虑。
7.会使用OFFICE  Excel \ Word、VISIO等办公软件。
职能类别：
ERP技术开发
微信分享"
研发总监（电子）,3-5万/月,广东安达智能装备股份有限公司,东莞-寮步镇  ,  8-9年经验  ,  本科  ,  招1人  ,  12-22发布,"包吃,包住宿,KTV,篮球场,健身房,WIFI,五险一金,台球室,员工生日会","岗位职责：
1、根据研发中心发展战略规划，负责组织部门的技术开发团队建设，规划公司的技术发展路线和新产品开发、技术改良，实现公司的技术创新目标。
2、对自动化设备行业的发展及3C、智能制造等相关行业发展对本行业的影响能做出精辟的分析，对未来行业竞争格局与发展有深入的把握，判断具有一定准确性；
3、组织制定和实施重大技术决策和技术方案；
4、对研发人员积极有效的激励、监督和专业指导，提高整体水平和营造积极的工作氛围；
","资格：
1、本科及以上学历，机电一体或电子类等相关专业；
2、8年以上自动化研发经验，3年以上管理经验；
3、精通自动化设备设计所需要的基础技术知识、专业技术知识，对机械设计相关的先进技术有深入研究并能输出专业的技术发展路线图；
5、有非标自动化项目的设计及管理经验且有成功案例。
职能类别：
技术总监/经理
关键字：
研发总监技术总监电子总监自动化
微信分享"
HRBP（子公司）(J15166),1-2万/月,浙江大华技术股份有限公司,杭州-滨江区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布,"餐饮补贴,通讯补贴","浙江华睿科技股份有限公司为大华旗下子公司，聚焦智能制造和智能物流搬运，有机器视觉和AGV移动机器人两大业务，依靠自主研发能力，形成以软件算法调度平台为核心，全系列的工业相机、智能相机和潜伏、叉取、牵引等移动AGV机器人产品，成为行业领先的核心部件和视觉方案提供商 。

工作职责:
1、推进人力资源战略的落地并促进人力资源战略在业务部门的有效规划和实施。与业务部门搭档，了解业务战略并促进人力资源战略在业务部门的有效规划和实施；
2、参与制定人力资源全面解决方案，为组织的发展提供支持，通过建立机制给部门提供组织保障，包括招聘、培训、绩效、员工关系等人力资源工作；
3、建立有效沟通的渠道，保证组织中信息的通畅；
4、创造信任和开放的组织氛围，推动企业文化的建设；
","资格:
1、***本科及以上学历，5年以上HR从业经验，精通人力资源其中1-2个模块，有软件、硬件、项目管理、产品管理等业务经验优先；
2、熟悉人力资源日常管理工作流程，了解并掌握人力资源各项管理工具、技术和资源；
3、有良好的业务思维能力优先，优秀的数据思维及处理能力优先，具备极强的责任心和原则性，良好的人际沟通及协调能力，良好的学习能力；
4、思路清晰、思维敏捷，口头和书面表达能力俱佳；
5、负责大华旗下子公司的人力资源工作，能适应短期出差；
职能类别：
HRBP
微信分享"
MES工程师,0.8-1.5万/月,宁波天旗科技有限公司,宁波-北仑区  ,  1年经验  ,  大专  ,  招1人  ,  12-22发布,"年终奖金,专业培训,包吃包住,绩效奖金,带薪年假,免费班车","1、为MES系统最终用户提供使用技术支持，处理相关问题；
2、培训使用MES系统的相关用户；
3、收集报表需求，根据需求进行数据库设计及开发；
4、撰写开发文档，包括开发规格、用户手册等；
5、跟进MES系统实施，解决异常问题。
","资格
1、一年以上制造业工作经验，经历过至少一个完整的MES实施或运维项目。
2、熟悉MES系统的功能配置，具备机遇MES平台的二次开发和功能扩展方案设计能力
3、了解生产过程过管理，生产工艺管理，仓储及场内配送管理等相关生产业务。
4、掌握常用的设备集成方式，有设备集成经验。
5、对智能制造、大数据、工业4.0有清晰的理解

职能类别：
软件工程师
关键字：
MES
微信分享"
产品/项目经理（医疗器械软件）,1-1.5万/月,无锡声亚医疗科技有限公司,无锡-锡山区  ,  2年经验  ,  本科  ,  招若干人  ,  12-22发布,"周末双休,五险一金,交通补贴","1. 负责在项目合同规定条件下，按照公司项目管理要求，完成项目实施交付工作；
2、按项目经理责任制要求，负责项目内部人员安排、资源调度、进度管理、成本控制、质量控制、风险管理等各方面工作，对所辖项目的进度、质量、安全及成本等进行管理；
3.负责组织项目例行汇报、交流；编写、整理项目所涉及阶段汇报及项目验收报告等文档，确保项目按计划实施交付，保障项目交付的成功；
4.熟悉公司内部产品和研发规划，配合完成项目售前支持工作，调研并洞察客户详细需求与问题反馈的响应、澄清和跟踪实现/解决，配合研发部门完成公司产品的迭代升级；完成技术文档的编写


","要求：
1. ***统招本科或以上学历，计算机、软件、数学、工程管理、电子工程、通信工程、机械工程等相关专业学历；
2.具有1-3年以上医疗器械相关项目研发经验，2年以上项目管理经验；
3.具有良好的语言表达能力、沟通协调能力，良好的管理、组织和协调能力；
4.有在智能制造或工业互联网行业头部企业工作经历者优先；
5.有工业互联网、智能制造相关产品开发或实施经验者优先
6.具有信息产业部系统集成项目经理证书、ITIL证书、PMP证书、其他相关计算机技术认证证书者优先；有信息系统项目管理师、系统分析师、系统架构设计师等资质者优先。
7.了解熟悉C++语言优先考虑
职能类别：
项目经理
微信分享"
合规方向产品经理,2-2.5万/月,PwC 普华永道,北京-朝阳区  ,  3-4年经验  ,  本科  ,  招若干人  ,  12-22发布  ,,"工作职责
负责挖掘、收集、梳理企业客户的数据安全合规、反垄断合规及出口管制等企业合规需求，并根据客户产品需求，撰写需求文档，制作产品原型图，并协助客户推动产品落地及产品侧运维、运营工作
对客户业务合规现状进行调研，识别合规差距及风险，结合行业实践提供产品及系统侧的整改方案，并协助客户进行落地执行，开展产品实施演练及相关培训，并根据试点实施情况进行持续优化
负责协助客户公司开展信息安全、数据合规、反垄断合规管理体系的建立以及配套系统平台建设
","要求：
本科以上信息安全/计算机/数据挖掘/机器学习/统计/法学相关专业学历
两年以上数据安全、金融合规、法律科技产品设计及落地实施经验
了解TMT、金融、汽车、智能制造等行业信息安全及数据合规、反垄断、知识产权、出口管制等合规要求，了解信息安全及数据保护基本原则及常用技术
工作细致，责任心强，逻辑思维能力强，有较强的学习能力及良好的项目管理能力、沟通协同能力
职能类别：
专业顾问
关键字：
产品经理数据安全数据合规
微信分享"
